2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,346 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,346 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,347 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,347 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,348 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,348 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,348 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,349 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,349 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,350 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,350 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,351 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,351 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,352 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,352 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,353 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,353 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,354 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,354 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,355 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,355 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,356 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,356 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,357 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,357 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,357 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,358 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,359 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,359 camera.py, line 82, ERROR:read:读取图像错误!!!!
